DATE,NE GDP Def,S GDP Def,MW GDP Def,W GDP Def,NE Real GDP,S Real GDP,MW Real GDP,W Real GDP,NE Cons,S Cons,MW Cons,W Cons,NE Inv,S Inv,MW Inv,W Inv,NE CNP,S CNP,MW CNP,W CNP
1997-01-01,73.56075385,70.762918,72.93756558,75.78561469,2544182.6,3905464.3,2665010.8,2549398.6,1196438.8,1813399.7,1274535.3,1249718.4,467295.2,556358,455435.8,418810.2,40535291.92,72395066.42,47779622.33,44669636.67
1998-01-01,74.83875306,71.6509069,74.25876883,76.24475815,2608375.1,4098305,2753891.2,2706248.6,1267971.2,1927258.6,1345619.6,1333435.4,467389.2,599149.4,478038.1,452638,41009987.92,74557701.17,48394511.17,46363819.92
1999-01-01,75.87511853,73.00083583,75.53148641,77.13672249,2718837.4,4275021.6,2848515.9,2891071.5,1348259.4,2060858.6,1431559.7,1434977.2,486314.2,627191.4,486707.9,502447.4,41228436.08,75525710.83,48704645.33,47133588.67
2000-01-01,77.22252046,75.29316164,76.98293906,78.57612831,2847666.7,4391075.8,2944586.2,3072665.9,1448329.7,2222633,1530821.6,1556821.3,511201.6,626408.7,488395.1,544709.7,41499539.42,76574250.5,49055393.17,47980140.83
2001-01-01,79.03325834,77.32204686,79.03866712,80.11818054,2892741.8,4474499.5,2922402.9,3070099.3,1517005.2,2327141.4,1590732.6,1626996.8,518832,651902.8,458431.6,497845.3,41775965.58,77639043.75,49387315.25,48772846.33
2002-01-01,80.50591651,78.3658015,80.25191948,81.26225827,2905934,4574203.2,2981841.7,3140175.1,1576386.7,2417723.2,1648519.1,1695798.6,500942.6,651379.2,470783.6,500486.6,42031833,78661885.25,49702495.67,49504984.5
2003-01-01,81.89539706,80.49673013,81.53169728,82.76243281,2951136.8,4691428.7,3053561.6,3265446.3,1663461.7,2545394.2,1722702.5,1786100.2,479038.4,685112.1,481978.4,542111.4,42253158.42,79817323.5,49996101.5,50263427.75
2004-01-01,84.17221474,82.95621641,83.65024266,84.98150922,3033919.1,4909945,3131500.3,3402425.1,1761975.3,2717332,1813958.3,1913559.8,502121.1,778966.9,508824.3,585720.4,42477440.58,81076432.83,50317968.75,51055778
2005-01-01,86.58037124,86.15532568,85.77620647,87.53073524,3103076.9,5108610.6,3191706.2,3577733.8,1867880.6,2918260.4,1904570.9,2050465.3,516227.7,875178.7,524762.5,669022.6,42733462.67,82401515.25,50674949,51909906.33
2006-01-01,89.24816972,88.86953625,88.1433304,90.04024749,3166180,5292014,3224820.4,3732481.3,1965334.5,3110444.8,1989767.5,2188400.4,547025.4,955506.6,528912.2,737222.8,42989389.25,83762235.58,51003972.17,52701136.08
2007-01-01,91.9228172,91.58377417,90.77197573,92.67400624,3209248.9,5367504.5,3261252.8,3819556.9,2048779.3,3267638,2071489.1,2311227.1,570161.6,970393.4,557464.4,767642.3,43251441.75,84946121.75,51297020.83,53493587.75
2008-01-01,93.38678011,94.12823084,92.28822694,94.40855648,3201490.4,5355140.7,3227784.3,3826058.5,2108077.4,3366237.3,2127674.9,2366423.4,536237.4,961043.8,506031.2,759511.1,43515216.25,85998152.92,51567694.08,54235750.75
2009-01-01,94.98306564,93.8897674,94.48742563,94.639083,3190701.5,5230632.3,3095372.3,3681773.1,2081937.9,3340022.8,2102916.1,2308334.8,595395.9,824992.2,466563.2,683716.5,43822306.42,87697708.5,51791358.67,55093751
2010-01-01,95.97565929,95.67387613,95.41091713,96.01806103,3280380.8,5340968.2,3191733.6,3733254.1,2146365.3,3468994.3,2169237.4,2392867.4,639890.3,869770.8,507987.7,688975.9,44125699.58,89005500.75,52051363.5,55836004.33
2011-01-01,97.67870049,98.14108945,97.47974731,98.13032099,3288218.5,5420476,3258308.2,3794544.4,2229410.5,3636129.8,2261589.1,2504381.8,619277.6,901273.6,547010.3,706447.5,44371435.5,90117199.33,52319258.08,56546289.25
